index	bet_type	win_umaban	return
0	単勝	['10']	230
1	複勝	['10']	120
1	複勝	['5']	130
1	複勝	['1']	140
3	馬連	['5', '10']	460
4	ワイド	['5', '10']	210
4	ワイド	['1', '10']	290
4	ワイド	['1', '5']	340
5	馬単	['10', '5']	760
6	三連複	['1', '5', '10']	760
7	三連単	['10', '5', '1']	2470
8	単勝	['4']	210
9	複勝	['4']	110
9	複勝	['8']	280
9	複勝	['2']	140
11	馬連	['4', '8']	1750
12	ワイド	['4', '8']	650
12	ワイド	['2', '4']	230
12	ワイド	['2', '8']	970
13	馬単	['4', '8']	2480
14	三連複	['2', '4', '8']	1850
15	三連単	['4', '8', '2']	9380
16	単勝	['5']	830
17	複勝	['5']	180
17	複勝	['8']	140
17	複勝	['1']	390
18	馬連	['5', '8']	1550
19	ワイド	['5', '8']	420
19	ワイド	['1', '5']	2080
19	ワイド	['1', '8']	880
20	馬単	['5', '8']	3500
21	三連複	['1', '5', '8']	7930
22	三連単	['5', '8', '1']	50640
23	単勝	['1']	1440
24	複勝	['1']	350
24	複勝	['16']	140
24	複勝	['8']	170
26	馬連	['1', '16']	2840
27	ワイド	['1', '16']	720
27	ワイド	['1', '8']	830
27	ワイド	['8', '16']	240
28	馬単	['1', '16']	6870
29	三連複	['1', '8', '16']	3020
30	三連単	['1', '16', '8']	25860
31	単勝	['11']	950
32	複勝	['11']	340
32	複勝	['16']	810
32	複勝	['1']	300
34	馬連	['11', '16']	16020
35	ワイド	['11', '16']	3620
35	ワイド	['1', '11']	1560
35	ワイド	['1', '16']	4630
36	馬単	['11', '16']	26990
37	三連複	['1', '11', '16']	44140
38	三連単	['11', '16', '1']	278100
39	単勝	['4']	210
40	複勝	['4']	130
40	複勝	['2']	470
40	複勝	['14']	490
42	馬連	['2', '4']	1950
43	ワイド	['2', '4']	990
43	ワイド	['4', '14']	1130
43	ワイド	['2', '14']	3210
44	馬単	['4', '2']	2470
45	三連複	['2', '4', '14']	9400
46	三連単	['4', '2', '14']	40390
47	単勝	['8']	170
48	複勝	['8']	110
48	複勝	['7']	170
48	複勝	['9']	260
50	馬連	['7', '8']	460
51	ワイド	['7', '8']	210
51	ワイド	['8', '9']	380
51	ワイド	['7', '9']	640
52	馬単	['8', '7']	620
53	三連複	['7', '8', '9']	1310
54	三連単	['8', '7', '9']	2730
55	単勝	['14']	2330
56	複勝	['14']	440
56	複勝	['8']	170
56	複勝	['6']	180
58	馬連	['8', '14']	4590
59	ワイド	['8', '14']	1410
59	ワイド	['6', '14']	1280
59	ワイド	['6', '8']	480
60	馬単	['14', '8']	12700
61	三連複	['6', '8', '14']	5760
62	三連単	['14', '8', '6']	61440
63	単勝	['2']	320
64	複勝	['2']	150
64	複勝	['3']	180
64	複勝	['4']	630
66	馬連	['2', '3']	790
67	ワイド	['2', '3']	340
67	ワイド	['2', '4']	1560
67	ワイド	['3', '4']	2590
68	馬単	['2', '3']	1390
69	三連複	['2', '3', '4']	8100
70	三連単	['2', '3', '4']	25680
71	単勝	['1']	22190
72	複勝	['1']	3950
72	複勝	['4']	250
72	複勝	['2']	480
74	馬連	['1', '4']	66150
75	ワイド	['1', '4']	16530
75	ワイド	['1', '2']	25570
75	ワイド	['2', '4']	2580
76	馬単	['1', '4']	154520
77	三連複	['1', '2', '4']	227530
78	三連単	['1', '4', '2']	2533100
79	単勝	['3']	280
80	複勝	['3']	110
80	複勝	['11']	110
80	複勝	['6']	170
82	馬連	['3', '11']	470
83	ワイド	['3', '11']	200
83	ワイド	['3', '6']	320
83	ワイド	['6', '11']	330
84	馬単	['3', '11']	910
85	三連複	['3', '6', '11']	1000
86	三連単	['3', '11', '6']	3720
87	単勝	['2']	1180
88	複勝	['2']	250
88	複勝	['4']	110
88	複勝	['9']	190
90	馬連	['2', '4']	1090
91	ワイド	['2', '4']	440
91	ワイド	['2', '9']	790
91	ワイド	['4', '9']	340
92	馬単	['2', '4']	3150
93	三連複	['2', '4', '9']	1550
94	三連単	['2', '4', '9']	17180
95	単勝	['2']	300
96	複勝	['2']	130
96	複勝	['8']	140
96	複勝	['10']	290
98	馬連	['2', '8']	520
