	race_id	0	1	2	3
0	202408060405	単勝	10	230	1
1	202408060405	複勝	10 5 1	120 130 140	1 2 3
2	202408060405	枠連	5 - 8	470	1
3	202408060405	馬連	5 - 10	460	1
0	202408060405	ワイド	5 - 10 1 - 10 1 - 5	210 290 340	1 2 4
1	202408060405	馬単	10 → 5	760	1
2	202408060405	三連複	1 - 5 - 10	760	1
3	202408060405	三連単	10 → 5 → 1	2470	2
0	202409020308	単勝	4	210	1
1	202409020308	複勝	4 8 2	110 280 140	1 6 2
2	202409020308	枠連	4 - 7	1490	7
3	202409020308	馬連	4 - 8	1750	6
0	202409020308	ワイド	4 - 8 2 - 4 2 - 8	650 230 970	7 1 12
1	202409020308	馬単	4 → 8	2480	9
2	202409020308	三連複	2 - 4 - 8	1850	4
3	202409020308	三連単	4 → 8 → 2	9380	24
0	202402010807	単勝	5	830	5
1	202402010807	複勝	5 8 1	180 140 390	4 1 7
2	202402010807	馬連	5 - 8	1550	7
0	202402010807	ワイド	5 - 8 1 - 5 1 - 8	420 2,080 880	4 20 14
1	202402010807	馬単	5 → 8	3500	17
2	202402010807	三連複	1 - 5 - 8	7930	26
3	202402010807	三連単	5 → 8 → 1	50640	161
0	202408070602	単勝	1	1440	4
1	202408070602	複勝	1 16 8	350 140 170	4 2 3
2	202408070602	枠連	1 - 8	2390	6
3	202408070602	馬連	1 - 16	2840	5
0	202408070602	ワイド	1 - 16 1 - 8 8 - 16	720 830 240	5 6 3
1	202408070602	馬単	1 → 16	6870	14
2	202408070602	三連複	1 - 8 - 16	3020	8
3	202408070602	三連単	1 → 16 → 8	25860	69
0	202408060411	単勝	11	950	3
1	202408060411	複勝	11 16 1	340 810 300	3 12 2
2	202408060411	枠連	6 - 8	4370	14
3	202408060411	馬連	11 - 16	16020	40
0	202408060411	ワイド	11 - 16 1 - 11 1 - 16	3,620 1,560 4,630	39 17 54
1	202408060411	馬単	11 → 16	26990	67
2	202408060411	三連複	1 - 11 - 16	44140	124
3	202408060411	三連単	11 → 16 → 1	278100	668
0	202408031110	単勝	4	210	1
1	202408031110	複勝	4 2 14	130 470 490	1 8 9
2	202408031110	枠連	1 - 2	530	1
3	202408031110	馬連	2 - 4	1950	5
0	202408031110	ワイド	2 - 4 4 - 14 2 - 14	990 1,130 3,210	6 8 36
1	202408031110	馬単	4 → 2	2470	5
2	202408031110	三連複	2 - 4 - 14	9400	29
3	202408031110	三連単	4 → 2 → 14	40390	100
0	202405050506	単勝	8	170	1
1	202405050506	複勝	8 7 9	110 170 260	1 3 5
2	202405050506	枠連	7 - 7	450	2
3	202405050506	馬連	7 - 8	460	2
0	202405050506	ワイド	7 - 8 8 - 9 7 - 9	210 380 640	2 5 9
1	202405050506	馬単	8 → 7	620	3
2	202405050506	三連複	7 - 8 - 9	1310	5
3	202405050506	三連単	8 → 7 → 9	2730	9
0	202403020409	単勝	14	2330	6
1	202403020409	複勝	14 8 6	440 170 180	7 2 3
2	202403020409	枠連	4 - 7	3250	12
3	202403020409	馬連	8 - 14	4590	13
0	202403020409	ワイド	8 - 14 6 - 14 6 - 8	1,410 1,280 480	14 12 5
1	202403020409	馬単	14 → 8	12700	32
2	202403020409	三連複	6 - 8 - 14	5760	17
3	202403020409	三連単	14 → 8 → 6	61440	164
0	202408031104	単勝	2	320	1
1	202408031104	複勝	2 3 4	150 180 630	1 3 8
2	202408031104	枠連	2 - 3	880	3
3	202408031104	馬連	2 - 3	790	2
0	202408031104	ワイド	2 - 3 2 - 4 3 - 4	340 1,560 2,590	1 21 27
1	202408031104	馬単	2 → 3	1390	3
2	202408031104	三連複	2 - 3 - 4	8100	28
3	202408031104	三連単	2 → 3 → 4	25680	80
0	202405050512	単勝	1	22190	14
1	202405050512	複勝	1 4 2	3,950 250 480	15 2 9
2	202405050512	枠連	1 - 2	5490	17
3	202405050512	馬連	1 - 4	66150	68
0	202405050512	ワイド	1 - 4 1 - 2 2 - 4	16,530 25,570 2,580	68 93 33
1	202405050512	馬単	1 → 4	154520	157
2	202405050512	三連複	1 - 2 - 4	227530	277
3	202405050512	三連単	1 → 4 → 2	2533100	2206
0	202405040701	単勝	3	280	2
1	202405040701	複勝	3 11 6	110 110 170	2 1 4
2	202405040701	枠連	3 - 8	340	1
3	202405040701	馬連	3 - 11	470	1
0	202405040701	ワイド	3 - 11 3 - 6 6 - 11	200 320 330	1 3 4
1	202405040701	馬単	3 → 11	910	1
2	202405040701	三連複	3 - 6 - 11	1000	2
3	202405040701	三連単	3 → 11 → 6	3720	4
0	202401020502	単勝	2	1180	5
1	202401020502	複勝	2 4 9	250 110 190	5 1 4
2	202401020502	枠連	2 - 4	840	4
3	202401020502	馬連	2 - 4	1090	6
0	202401020502	ワイド	2 - 4 2 - 9 4 - 9	440 790 340	6 9 4
1	202401020502	馬単	2 → 4	3150	13
2	202401020502	三連複	2 - 4 - 9	1550	5
3	202401020502	三連単	2 → 4 → 9	17180	53
0	202409010208	単勝	2	300	1
1	202409010208	複勝	2 8 10	130 140 290	1 2 6
2	202409010208	枠連	2 - 7	270	1
3	202409010208	馬連	2 - 8	520	1
0	202409010208	ワイド	2 - 8 2 - 10 8 - 10	260 640 1,350	1 8 18
1	202409010208	馬単	2 → 8	940	1
2	202409010208	三連複	2 - 8 - 10	3390	11
3	202409010208	三連単	2 → 8 → 10	10000	25
0	202408050505	単勝	7	1780	7
1	202408050505	複勝	7 10 2	460 440 360	8 6 5
2	202408050505	枠連	5 - 6	4980	24
3	202408050505	馬連	7 - 10	9170	30
0	202408050505	ワイド	7 - 10 2 - 7 2 - 10	2,840 3,090 2,050	31 35 28
1	202408050505	馬単	7 → 10	17920	64
2	202408050505	三連複	2 - 7 - 10	33290	95
3	202408050505	三連単	7 → 10 → 2	168710	477
0	202407030312	単勝	4	590	4
1	202407030312	複勝	4 11 13	210 290 220	3 5 4
2	202407030312	枠連	3 - 6	1040	4
3	202407030312	馬連	4 - 11	3000	9
0	202407030312	ワイド	4 - 11 4 - 13 11 - 13	1,000 810 1,100	10 7 11
1	202407030312	馬単	4 → 11	5240	18
2	202407030312	三連複	4 - 11 - 13	5480	10
3	202407030312	三連単	4 → 11 → 13	33160	75
0	202407020101	単勝	1	580	3
1	202407020101	複勝	1 7 9	160 130 180	3 1 5
2	202407020101	枠連	1 - 7	740	2
3	202407020101	馬連	1 - 7	810	3
