horse_id,race_id,日付,開催,天気,R,レース名,枠番,馬番,オッズ,人気,騎手,斤量,距離,馬場,馬体重,着順,前走着順,前々走着順,pred,馬名,SFレース名,SF騎手,SF馬名
2022102499,202406050801,2024/12/22,中山,晴,1,2歳未勝利,1,1,213.4,13,松岡正海,55,ダ1200,良,472(+2),10,11,,0.0053925376463116,フジルバーブ,ノービスアストラル級,マツオカ・ノヴァ,オリオン・スパーク
2022102542,202406050801,2024/12/22,中山,晴,1,2歳未勝利,1,2,106.9,11,石橋脩,55,ダ1200,良,474(+2),14,5,8,0.0105274151422339,アルデココ,ノービスアストラル級,イシバシ・クォンタム,クォンタム・ドライブ
2022100627,202406050801,2024/12/22,中山,晴,1,2歳未勝利,2,3,4.2,3,坂井瑠星,55,ダ1200,良,536(0),2,3,,0.1459591560055663,カウスリップ,ノービスアストラル級,サカイ・ステラリス,ネビュラ・ウェイブ
2022100325,202406050801,2024/12/22,中山,晴,1,2歳未勝利,2,4,95.1,9,武藤雅,56,ダ1200,良,472(+8),12,11,5,0.0099555383756699,ハクサンミラクル,ノービスアストラル級,ムトウ・ギャラクシア,オリオン・リンク
2022102442,202406050801,2024/12/22,中山,晴,1,2歳未勝利,3,5,251.4,14,長浜鴻緒,52,ダ1200,良,434(-22),15,10,10,0.005548974420427,クリスタルテン,ノービスアストラル級,ナガハマ・ホライゾン,コズミック・ストリーム
2022106686,202406050801,2024/12/22,中山,晴,1,2歳未勝利,3,6,3,2,Ｃ．デム,55,ダ1200,良,440(+4),3,2,,0.249250485728909,スターランウェイ,ノービスアストラル級,C.ネブラ,ブラックホール・ドライブ
2022100399,202406050801,2024/12/22,中山,晴,1,2歳未勝利,4,7,71.8,7,池添謙一,55,ダ1200,良,440(0),9,13,11,0.0111872947998847,セイウングレイ,ノービスアストラル級,イケゾエ・オリオン,プレアデス・フォース
2022101137,202406050801,2024/12/22,中山,晴,1,2歳未勝利,4,8,138.8,12,小林脩斗,54,ダ1200,良,470(+4),7,10,,0.0093492102516685,タイセイアダマス,ノービスアストラル級,コバヤシ・ノヴァ,オリオン・ビーム
2022100958,202406050801,2024/12/22,中山,晴,1,2歳未勝利,5,9,424.2,16,佐藤翔馬,52,ダ1200,良,440(-2),4,15,6,0.0053925376463116,マミーブルー,ノービスアストラル級,サトウ・コメット,クエーサー・クロス
2022102811,202406050801,2024/12/22,中山,晴,1,2歳未勝利,5,10,33.1,4,嶋田純次,55,ダ1200,良,432(+8),13,9,4,0.0190576371760253,ハイタッチマドンナ,ノービスアストラル級,シマダ・エクリプス,ネビュラ・ストリーム
